@relation Tweets

@attribute text string
@attribute labelled_sentiment {positive,neutral,negative}

@data
" hour delay sholysouthwestair brendanpshannon brendan we are so sorry to keep you waiting well have you in the air sholyrs  here there many wherescentral time us canada",negative
" jetblue our fleets on fleek URL",negative
" jetblue our fleets on fleek URL😕",negative
" southwestair condescension must be a quality your co rewards your tone reeks of it",negative
" united  hours  gates and  planes late flightr still not an update explanation or apology to be had worstairlineever unitedairlines",negative
" united just be honest with your customers the new seats are designed to fit more rows on the plane more rows more money",negative
" united sad that you dont think it is impoant to resolve your client facing team that behaves disgraceful",negative
" united you dont really care about our comfo you care about profitability thats fine just own up to it unfriendlyskies",negative
" united you know your updates every  hours telling me you dont know where my bags are is also equally irritating coltsmissingbags",negative
" usairways its been cancelled flighted your sm response is slow",negative
"all followers please note that usairways is not taking customer service calls nor responding by helping via soc media dontflyusairways",negative
"always been a jetblue fan but maybe next time ill fly virginamerica for real customer service",negative
"americanair",negative
"americanair ",negative
"americanair  about  flights all using same gate wbuses to the planes awful boarding process hour and a half late flight",negative
"americanair  apparently we’re told staff on the ground keep promising to come and they don’t",negative
"americanair  but i just missed it because no one is at the gate to marshall us in so now i have to rent a car amp drive  hrs so thanks",negative
"americanair  calls in the span of two daysnone of which available to speak to someone you are un fin believable worst ever",negative
"americanair  characters arent enough to describe how inconsiderate your employees are",negative
"americanair  doesnt help me",negative
"americanair  everyone else was outstanding",negative
"americanair  ewr dfw is now stopping bna to refuel  bad weather are you just trying to get the plane closer  dfw then cancelled flight on us",negative
"americanair  four hours late flightrs and we are finally flying outtoo bad i missed my event",negative
"americanair  hours now no im not patient why dont you have a call back feature or pay someone to answer the phone not tweet onhold",negative
"americanair  hours on the phone yesterday really still doesnt pick up status on us air flight",negative
"americanair  hours to get backs back after being sat on a plane for  hours to have flight cancelled flightled with only one small drink",negative
"americanair  hs students from ithaca ny stuck in miami flts xld u wont rebook to get kids home use carrier alliance rulesshouldbend",negative
"americanair  i sat on the runway for  more hrs b takeoff  hrs late flight  am pilot plainly stated it was a compmech issue",negative
"americanair  late flightr  complete itinerary changes and lost work and time but yeah i got it rebooked",negative
"americanair  minutes",negative
"americanair  minutes since landing flight  from miami and no luggage whats the delay",negative
"americanair  months ago best catering out of all domestic airlines today worst on the planet and ive flown almost all of them",negative
"americanair  months and still no exec platinum member cards what gives",negative
"americanair  months of straight travel ahead time to find new airline",negative
"americanair  number will not even let you wait for next customer rep very frustrating cant talk to humans",negative
"americanair  open kiosks for priority with no line and only  open for main check in for  ppl",negative
"americanair  our fligth somthing to talk about this",negative
"americanair  phone calls  hrs of being sent back amp foh between two lines in the terminal and its the skycap that finds a solution",negative
"americanair  ticket agent servicing at least  people on line waiting for an hour and a half and your phones hang up on people",negative
"americanair  was supposed to be in little rock at am this morning",negative
"americanair  was supposed to depa at pm central about ready to close the door at pm central",negative
"americanair  you took cost for both flights out of my bank account now i cant get a refund for  weeks i have been a loyal customer",negative
"americanair a confirmed flight im so done thanks for nothing",negative
"americanair a free check bag a food comp a flying credit something to help out now that im an additional  dollars in the hole",negative
"americanair a school trip of  including myself had to sleep over in the airpo and are all on different standby flightsthis is not good",negative
"americanair aa being ignored",negative
"americanair aa employees were rude and unwilling to help  miles is a rotten cherry on top of a dog shit sunday nocareforcustomers",negative
"americanair aa flight out of jamaica was cancelled flightled yesterday due to weather while other flights were still landing at dfw",negative
"americanair aa jfk to las",negative
"americanair aa now that the airplane has been sitting here for over  hrsthere are mechanical problemsbtwthe aa desk is unorganized",negative
"americanair aa second week in a row delayed due to mechanical issues all the sleet outside and yet were stuck changing a tire",negative
"americanair absolute terrible service to schedule a  minute layover and then not let someone on the plane with the door not closed",negative
"americanair absolutely disappointed in your lack of service lost my bag and cant even deliver it after i was told it would happen",negative
"americanair activealy thx we have already been on the iberia website and seat reservation is unavailable hopefully we can call them",negative
"americanair actually online indicates the only seating available is at a premium costwhy not allow seat selection at time of purchase",negative
"americanair additional fare cost  tix change price  uk pounds   not the issue the  uk pounds is badcustomerservice",negative
"americanair advised gas and pilot of my flight too bad no one took action",negative
"americanair after  minutes on hold and another  minutes on the call yes going to be pushing it to get to the airpo on time now",negative
"americanair after all that weve been through today as a couesy to not allow a passenger with an oxgen tank sit up there is bad business",negative
"americanair after being patient about my delayed bags for  weeks i was told that it could take another  to  weeks unacceptable",negative
"americanair after losing my bags for  daysampcharging me  toarrange pick upin argentinaclaiming tollfree wont reimburse me help",negative
"americanair after running from one flight because we had  mins to our next flight we then sat on our plane for an hour",negative
"americanair after several miss communications i was able to get to ord but i am not home yet and not sure i will get there due to her error",negative
"americanair after waiting for a delayed plane we sat on the plane for an hour waiting for a late flight passenger thats bs too",negative
"americanair again no special meal catered for me in f jfklax thankfully im on qantas the rest of wayi fear what youd not cater on that",negative
"americanair again you guys are a huge joke and cancelled flight your flight for no reason this is the rd time in one trip for me that you have",negative
"americanair agents in dfw were very kind did their best to help but this doesnt make up for phx error and attitude americant",negative
"americanair airline trouble this winter amp not getting good customer service contact URL we negotiate wcompanies foru",negative
"americanair airpo and  extra nights for hotels and not once have i heard of anything from your embarrassing airline saying that you will",negative
"americanair all i get is an automated system that hangs up on me i finally get a message that some will call me back in  hours",negative
"americanair all i want is to know what to do regarding my connecting flights since my st is cancelled flightled could you be of assistance",negative
"americanair all of these issues are not based on weather or things that are out of your control these issues are based on negligence",negative
"americanair all right but can you give me an email to write to ",negative
"americanair already shared with them nothing done",negative
"americanair already spoke to that line unwilling to help really poor suppo hitawall",negative
"americanair alright prove it   days ago i sat on a plane at jfk for  hrs deplaned for  more and when i reboarded",negative
"americanair also agent not aware clearly of URL",negative
"americanair also been on hold for  minutes with your customer service to find out when my new flight is scheduled bc your site sucks",negative
"americanair also do you have any way to speak to someone on the phone your  has been hanging up on me all day",negative
"americanair also i have to wait more than  hours before i can speak to someone on the phone i cant wait  hours ",negative
"americanair am on hold for the nd time today need help with confirming the new flights you arranged for me can you expedite this",negative
"americanair americanairlines bqonpa flight  delayed from posmia missed  mia atl need seat on last flight to atl",negative
"americanair americanairlines says most bags left in miami have been returned following mechanical glitch gtgt URL",negative
"americanair an hour now waiting on the phone for us air help  hours waiting at the airpo yesterday love the service guys",negative
"americanair an overzealous stewardess prevented us from bringing in a car seat worstflight",negative
"americanair and airsouthwest had a flight from chicago to buffalo about an hour before our flight do they not care about safety",negative
"americanair and even worse by the time you responded to my tweets i took two flights over five hours and that was the quickest response",negative
"americanair and feel free to email me mikehezgmailcom dont worry were not going anywhere but this damn tarmac for a bit",negative
"americanair and it gets betterother passengers rebooked direct on other airlines whereisthelove ",negative
"americanair and its not a inconvenience it is a disaster its a  phone bill from you that you refuse to pay",negative
"americanair and itunesmusic have put me in bad mood i havent been this angry since spagnuolo coached the rams",negative
"americanair and just bad cs i will be back on jetblue at least when you stuck they look out for you and apologize for any trouble",negative
"americanair and let flt  know im coming gate crew have yet to arrive to let us off flt  dfw",negative
"americanair and they cancelled flighted my flight and left me with no help to find a hotel to stay in i slept in an airpo for a night",negative
"americanair andrewwasila were sorry you were uncomfoable andrew what can we do for yousma",negative
"americanair andyellwood delk lol i was sure id wake up to more of a response than this halfthought auto tweet hope you made it out",negative
"americanair another customer non service from you if we waited for you to solve the problem we would miss the funeral you suck",negative
"americanair another day another grievance with this airline no customer service",negative
"americanair another generic response guys cmon youre terrible how about an actual helpful person not all the rude employees at lax",negative
"americanair answer the phones trying to change a reservation and havent been able to get a human to pick up in two days",negative
"americanair any hints to get through to and stay connected with you to rearrange weather relate flightd cancelled flights hours in now wnothing",negative
"americanair any idea on what the wait time is for refunds from usairways i was told a few days over the phone but its well past that",negative
"americanair any info for cancelled flightled flight  tomorrow morning out of dfw cant get calls through to speak with anyone",negative
"americanair any reason why my  flight to chicago is boarding and i still dont have a seat assignment seriously",negative
"americanair any ways to get through the  minute wait to book a flight",negative
"americanair appreciate your system is busy but when i call having your automated system hang up on me is not helpful",negative
"americanair are flights leaving dallas right now in maui trying to figure out how delayed flight  is going to be",negative
"americanair are there any travel advisories for toronto on today i cant access anything regarding international travel on your website",negative
"americanair are you a bot haha always same lies from you",negative
"americanair are you guys intentionally trying to lose customers and money",negative
"americanair are you ignoring me on purpose it was sad enough having your automated system hang up on me 😭",negative
"americanair are you people cruel or just stupid why are you posting my personal email on the damn internet have u lost your mind",negative
"americanair arminrosen ggreenwald tell that piece of shit to get fucked ill fly exclusively with you for life",negative
"americanair arrived pm eastern had to deplane on the crjs airstairs to an icy tarmac valet bags sent to carousel so it was pm",negative
"americanair as i already have a booked flight that i cant use amp cant change wo a  fee flight booking problems a different type of ticket",negative
"americanair as of now will do my best to never fly w americanairlines ever again yall have made this a day to remember",negative
"americanair as your flight attendants are an extension of your brand bitchy flight attendants on  am flights are not appreciated",negative
"americanair ask your new colleagues usairways how they handled us  on  feb i expect to be made whole again check complaint inbox",negative
"americanair asked for a waiver of a change fee for flight booked win past  hrs rep was rude just told me no didnt even try to help",negative
"americanair at  am and have no clue if we have a place to stay or not",negative
"americanair at gate c your gate agents are turning paying customers away in favor of non revs",negative
"americanair at lax and your service reps just hand out the  number to call so thats not helpful",negative
"americanair at some point u need to tell passengers what is going on at jfk waiting to get on flight it is a mess",negative
"americanair attached original ticket flight number was  isnt the experience i thought i would have terrible URL",negative
"americanair back in uk now no thanks to your staff that wouldnt me or the other passengers stranded just laughed at us",negative
"americanair bad weather happens but lack of preparation is inexcusable depending on good weather is not a good business model",negative
"americanair bad weather happens but not being able to get through to a reservations rep for over  hours is just crazy frustrated",negative
"americanair bad weather is understandable but your own pilot said that over  people called out and that zero bags are on the plane",negative
"americanair bag has not yet been located again th time ive checked it how can tracking my bag be this hard for your system",negative
"americanair bag turned up no thanks to your useless callcentre and useless website",negative
"americanair barrettkarabis what a joke you can mail",negative
"americanair because you wont get our bags for us because you said they would go on to cincinnati even though we cant who exactly is",negative
"americanair because your planes toilet wasnt working and they needed gas this is flight  leaving dulles going to lax do some",negative
"americanair been airpo hrs been told nothing by anyone until now your rep has said we are waiting for the mechanics to finish lunch",negative
"americanair been calling  different offices already and still no sign of my baggage first time on american air ",negative
"americanair been calling all morning still cant get through i need to chge a flight that is this week",negative
"americanair been calling for over hrs now and getting no where but told to call back by the automated system is extremely frustrating",negative
"americanair been calling your for  hours to reschedule a flight to dfw due to weather and your wont even let me stay on hold",negative
