@relation Tweets

@attribute text string
@attribute labelled_sentiment {positive,neutral,negative}

@data
"new ceo seeks the right balance to please passengers and wall greenfield daily reporter ",neutral
"is really getting on my nerves rage rage not happy ",negative
"yes we waited in line for almost an hour to do significant other some passengers just left not wanting to wait past am ",negative
"the we got into the gate at bush intercontinental airport on time and have given our seats and closed the flight if you know people is arriving have to wait ",negative
"its cool that my bags take a bit longer dont give me baggage blue ballsturn the carousel on tell me its coming then not ",negative
"and dont hope for me having a nicer flight some other time try to do things right you sold me those tickets with that connetion ",negative
"i like delays less than you because im the one on the plane connect me with a voucher ",negative
"link to current status of flightsairports fly bwiewrmco this morning yet cant yet tell what any problems are except see snow ",negative
"i tried direct message it would not go thru not sure why ",negative
"you guys there are we on hour of our phone hold at am bc of volume or short staffing ",negative
"wanted to get my bag benefit but instead get pricing on all three tickets when adding a card mp visa is only option ",negative
"please see a flight attendant for what why isnt there enough room for over head bags i carry on to save time ",negative
"still waiting for a reply ",negative
"even though technically after i land i will be silver ",neutral
"hows us looking today ",neutral
"nice work on the update ",positive
"i have items of sentimental value that im heartbroken are missing ",negative
"we have been stuck in luis munoz marin international airport for several hours and no one is answering here really tough to luv sw no response is bad ",negative
"ceo weighs profits flyers registration ",neutral
"how r u supposed to change flights when u cant get thru to reservations onehouronhold ",negative
"thanks her flight leaves at but shes arriving to the airport early wedding is in vt in sept grateful you fly to btv ",positive
"is officially the worst most delayed and least helpful airline i have ever had the misfortune of flying on ",negative
"wont answer their phones horribleservice neveragain frustrated answerthephone ",negative
"reservations had me on hold for hours only to hang upsmh confused ",negative
"no worries delay was minor and dealt with nicely it was captain of flight by the way ",positive
"clicked on the link and got this confused ",neutral
"is it a temporary site glitch or are you no longer offering flights from gerald r ford international airport to spokane international airport after feb cant find any online ",neutral
"flight was cancelled flightled and it wont let me rebook online wait time on phone is too long please help ",negative
"guys weve got to do something about the inability to check in online for international flight that has ",neutral
"really caring ",neutral
"allows other passengers harass u after their gate agents mistakefurious they are doing nothing about it my yo was scared ",negative
"this is really unhelpful why cant i rebook online ",negative
"sitting on the plane in john f kennedy international airport waiting to take off doors are open catering is stocking up we are delayed but they couldnt be nicer ",negative
"a flight delay due to pilots oversleeping is apparently an uncontrollable irregularity that is not eligible for delay compensation ",negative
"we have no choice but to pay another to go to the airport in the hopes that we will be treated better by a rep ",negative
"new apple crpe amazing live from ua really nice crew too americanair has biscuits ua needs them ",positive
"on hold for hours and then you hung up cancelled flightled flights running out of daycare for our kids who are trapped at home ",negative
"call my work and tell them its your fault im late flight ",negative
"why have you guys jacked up the prices after you said prices were going to be lowered shaking my head ",negative
"i have been on hold with your gold reservations line for over hours now flight cancelled flightled trying to rebook ",negative
"how much does it cost to check in an additional bag traveling from newark to glasgow thank you ",neutral
"thanks do yall expect to be operational tomorrow out of nashville ",positive
"we are on the private message flight fort lauderdale hollywood international airport to philadelphia international airport and then connection to man however with the delays we might miss it can we go earlier ",negative
"last night we waited forever at the gate because someone from corporate dispatch forgot to call the crew unfriendly skies ",negative
"broken entertainment system on my hour nyc flight terrible cabin crew service and online complaint form wont work hopeless ",negative
"husband on hold hrs got disconnectednew wait min cant confirm res due to the fact he booked on line nuts ",negative
" ridiculous to fly outdated s anywhere much less btwn bush intercontinental airport and sfo no power ports no wifi no personal entertainment torture ",negative
"been on hold for minutes about my cancelled flightled flight still not talked to anyone and flight is soon what gives ",negative
"hoping you answer the phone today ",negative
"the last for times ive arrived our gate has been blocked by a slow to depart plane leading to min delays ",negative
"what if business as usual meant dropping the bully mentality and fostering inspiration for a greater business employeerelations ",negative
" kind of early but any idea when dates through the first week of sept will come available ",neutral
"i hear that the new thing in your planes are the flyfi how i can check if the flight that im going to take have it ",neutral
"your service has been awful in boston and i had to pay extra dollars than i was supposed too i am very dissatisfied mad ",negative
"im showing flight delayed again would my boarding pass still be good or was my seat given away ",negative
"cant update my flight online bc its been cancelled flighted twice already going on hour on hold ",negative
"guys for real ive been on hold for hours including one hangup please have someone reach out significant other i can get my back ",negative
"great job today in ruining peoples vacation thanks to your incompetent pilot and staff we have all now missed our flights ",negative
"tried to rebook online but it says that i have to pay for difference in price please help ",negative
"please provide me your direct email for me to explain ",negative
"cancelled flightled my flight out of nashville international airport today been on hold for an hour angry frustrated ",negative
"beautiful thanks a ton ",positive
"i need updates on my flights i have been on hold for over hours ",negative
"himy flight bna to lga was cancelled flighted this morning looks like other flights out of nashville international airport are taking off any chance ",negative
"can you link the article where it says the routes and what times the routes are likely to be like tuldal private message none ",neutral
"mobile boarding passes now available in ios passbook ",neutral
"almost for hours and coin now understand higher call volume but this is unacceptable ",negative
" its been cancelled flighted your sm response is slow ",negative
"ive had my flight cancelled flightled twice now and after minutes of automated questions the phone just goes to a busy signal help ",negative
"tried online and told i must call bc of modifications to my reservation been on hold for almost hours ",negative
" outstanding customer service thank you ",positive
"finally ",positive
"trying to get through to cust relations is there another to use ",neutral
"where should i fly by may rd plz advise ",neutral
"has the worst customer service of any airline ive ever flown ",negative
"you know what the united club needs power moar power insufficient outlets for the roadwarrior ord ",negative
"thrilled to have my carryon checked against my will by two nasty gate agents only to see an entire empty bin when i boarded last ",negative
"almost hours on hold hours of my life i cant get back thanks ",negative
"discount for three delays ",negative
"to offer service from daytona beach to new york albany business review ",positive
"cant even get on hold to wait to speak to someoneawesome ",negative
"didnt get her name she was not in our group she was sitting behind us think it was window seat we only overheard ",negative
"thank you ",positive
"too bad im getting this memo your reservation contains modifications that prevent you from changing it online fusturated ",negative
"is todays jetblue flight nycbos delayed my app says on time and the website says its not ",negative
"thanks for the reply hoping everything is cleared up in charlotte by monday ",positive
"it takes a month ",negative
"yes i a report in atlanta my bags are in charlotte nc hours late flightr and still cant find my luggage ",negative
"it was supposed to be a carry on and in pittsburgh coming to boston it was a carry on ",negative
"you need to contact me asap furious ",neutral
"book out of town with fares from way restr ",neutral
"nothing apparently ive flown with you for times in last weeks and of those experiences incl today were clusterfucks ",negative
"whats the link for flyfi ",neutral
"how soon is possible i boarded the plane the st time at am and it is now after am and im still where i started ",negative
"your chairmans phone is down what other number can i use ",negative
"you make spirit look like the gem of air travel you havent handle this winter storm very well ",negative
"flying los angeles international airport to san francisco international airport and after looking at the awesome movie lineup i actually wish i was on a long haul ",positive
"bad coffee but the juice is ok getphilz united terminal san francisco international airport airport ",negative
"why am i mot getting my refund ",negative
"do you think the flights out of nashville will be cancelled flighted tomorrow ",neutral
"do you not try to get customers to their destinations no help to get on another airline if you had no flights for days ",negative
"im an alist preferred customer and very loyal swa however your inflight wifi is no better today than it was for years ago ",negative
"i have a internal bleed in my foot and i am flying next tuesday what should i do these leeds come randomly i ",neutral
"cant view seat selectionchange seat for flight tomorrow can you look into this ",neutral
"please give tara g a pat on the back and praise she was very very helpful she is at philadelphia international airport member lounge ",positive
"thanks i hope i get to my destination ",positive
"well its am and just got an email that my am flight is delayedthats not right ",negative
"was wondering if you guys recieved my direct message and were able to potentially respond asap ",neutral
"did not let me get on the iahhnl direct now weather delay for my san francisco international airport leg stop being reactive and be proactive ",negative
"kudos to the rsw cs crew for rerouting pax to alleviate over sale due to down graded eqp now ",negative
"trying to fly out of nashville tomorrow how is it looking ",neutral
"no i am fine to fly haha they come at random with the hemophilia but what if i need extra assistance ",neutral
"overheard hell no im not waiting again to get hung up on after speaking to rude service people ",negative
"new ceo seeks the right balance to please passengers and wall daily journal ",neutral
"thank you miss you all significant other significant other much is this the link to the blog or has that changed ",positive
"i expect something more than telling me to see an agent to rebook my flight ",negative
"you have the ability to switch my flight to but you cannot tell me where my bags are ",negative
"i did and its been a disaster you had me sitting on the runway only to bring the plane back to the gate shaking my head ",negative
"no we havent because weve been in the same line at the service desk for an hr and now in the same spot ",negative
"on your website and on your boards at logan it said it was on time significant other we went through security and got to the gate ",neutral
"i got up at am for a am flight from bos to charlotte which i found was cancelled flightled once i got to the gate ",negative
"filled in the form you sent the link to on and then either or ",neutral
"ive been on hold with customer service for over an hour can you help ",negative
"ive been on hold for an hour now as i type this ridiculous all i need is the link to the chart that has routes time ",negative
"sent ",neutral
"flight cancelled flightled reflight booking problems online has not worked on my second round of hold hrs now any other options ",negative
"my request has nothing to do with rescheduling but customer service has such a bad attitude today bad service ",negative
"busy due to storm but customer service should always be on point more significant other now than ever ge tit together ",negative
"no warm weather hubs means no mexico for us and i cant go anywhere else since you lost my bags i hope you attempt to rectify ",negative
"no kidding oy ",negative
"thanks ",positive
"thank you for blowing my vacation couldnt get me anywhere today to make my reservation and also lost bags of mine ",negative
"been trying to talk with a dividend miles rep for days now i have been holding for over hours each day what are my options ",negative
"and it still says its on time on your website by the way ",negative
"your customer service is horrible ",negative
"gold star for united change my flight miss all connections but cant accommodate me until a much late flightr arrival timenot happy ",negative
"firstclass cockup ",negative
"all day travel swag ijustwanttosleep ",neutral
"thank you for the new club at ohare very comfortable you made the difficult weather days proficient and enjoyable ",positive
"have you considered adding the well call you back when we have someone free feature to your support line ",negative
"this is dating back to nov i have been sent back and forth between you and its a disgrace ",negative
"will do hoping for a voucher for a future flight optimistic ",positive
"i didnt even leave the airport and you sent of my bags to philadelphia ",negative
"thanks for the information but have been trying for over hrs and no luck flight dep today need change tomorrow or thursday ",negative
"tried twice today on hold for min each time i have things to do significant other cant live on hold dealing with your customer serv failures ",negative
"sat at airport for hrs still sitting at gate sigh ",negative
"actually we did not consider she might have made a mistake she did not complain beyond that she indicated it on her reservation ",neutral
"injured at check in yesterday u told me to go to dr on hold with swa for over hour trying to talk with someone suggestions ",negative
"trying to get through by phone to confirm that funds from a cancelled flightled reservation can still be used in the future can u help ",negative
"oh my god wish i had a flight today haha theres always next time have fun at lft ",positive
"to arrive the plane im sitting on needs to take offwish someone would tell us what the holdup is ",negative
" thats the gist of what the flight attendant told her ",negative
"by the way is it true you have to remind flight staff after checking in even after indicating meal prefer on your reservation ",negative
"what took me aback was the response by the flight attendant who put the responsibility squarely back on passengers shoulders ",negative
"no but u cld explain how such a disorganized and inefficient company with surly and obviously unhappy employees stays in business ",negative
"got it thanks any insight into what will happen tomorrow ",neutral
"any chance of adding laxjfk direct any time in the future ",neutral
"thank you i was given this same reply years ago can you direct me to an area i can learn more about the improvements ",negative
"just disconnected my call after hours without even speaking to me octavian nightmare ",negative
"she was a phone agent pls do peggy was pleasant informative and delivered star star star star star ",positive
"hopefully next time can i send you my future itineraries significant other the next one can be planned when im there joy joy ",neutral
"flight fro norfolk international airport to phl ",neutral
" ",negative
"the phone line disconnects how can i be in the queue to be answered when the phone line simply disconnects when i call ",negative
"want to bump up my seet to first class for two cancelled flightlations in hrs what a joke ",negative
"i am thankful to the united ground staff who put me in the last seat on the last flight out home late flight is still home ",positive
"i appreciate the follow up ",positive
"ive been on hold for an hour a half trying to change my flight to bna not very happy with customer service right now ",negative
"got flight reschedule to flight form pittsburgh international airport to fort lauderdale hollywood international airport and our flight had mechanical problems significant other we were delayed an hour missed my connect ",negative
"well lucky i only fly jbi guess i would be even more squished on any other airline disappointed ",positive
"still crickets from customer service ",negative
"we rebooked but and i had to split up and take different flights because a pilot ran out of hours frustrating ",negative
"no worries about the tweets we all should do what we can to make sure we as in your tag line fly the friendly skies ",positive
"great job looking forward to my next trip being able to use this new feature ",positive
" any update on flights in to nashville international airport today ",neutral
"damn weather messing up everything serenity now ",neutral
"could you tell me if any upgrades are available on a flight out of lambertst louis international airport tomorrow morning ",neutral
"disappointed with customer service right now my flight was only one cancelled flightled at my airport now im losing days from trip ",negative
"been on hold for over an hournot cool you guys ",negative
"should i continue ",negative
"ok great thanks i had a great flight for your information im excited to fly again i just was frustrated i was not able to check in ",neutral
"i do not want to deal with your customer service agents with no practical knowledgeprovide me with a direct contact ",negative
"hundreds of people in line and less than half the desks being manned at clt help ",negative
"why is there no contact email for customer complaints ",negative
"now i am probably going to miss my connection in charlotte significant other i will have to drive home for the funeral ",negative
"flight from john f kennedy international airport to charlotte then from charlotte to birmingham previous flights to huntsville international airport were cancelled flightled ",negative
"pleasantly surprised to find ana has made major upgrades on their transpacific route in flights planes and service ",positive
"step cancelled flight flight step dont notify customer step charge them for food while they try to survive their wait brilliant ",negative
"i need my confirmation number can you give it to me ",neutral
" besides no small degree of selfinterest we take that route several times a year would hate to be in that situation ",negative
"great job with the passbook integration itll really help streamline the commute to san fran blush coffee calling airplane ",positive
"i need to reschedule a flight and ive been on hold for almost an hour this is ridiculous is there a best number to call ",negative
" condescension must be a quality your commanding officer rewards your tone reeks of it ",negative
"unfortunately no but hoping i can catch one sometime in the near future ",neutral
"why is my flight delayed hours this is insane every other flight has made it to nyc ",negative
"ah wish i was there good luck ",neutral
"just contaced eyewitness news about the ripoff the cancelled flighted now they want me to pay ",negative
"how can i change without penalty and not have to call customer service ",neutral
"when i call it says yall are too busy and to call back late flightr this is terrible customer service what will you do about it ",negative
"they charged me for a flight they cancelled flightled unbelievable and unheard of ",negative
"i was completely ripped of by us airways today never fly this airline i am contacting my local news ",negative
"i cant believe that you would refer me to a number no one seems to be getting through really i need help asap ",negative
"still waiting to see disappointed ",neutral
"feck guys stop cancelled flightling flights from newark liberty international airport to richmond international airport the weather is fine i both locations ",negative
" ua has been rolling out improvements too we think hoping theyll catch up soon meantime ana is our preference ",neutral
"frzz ",neutral
"youve got a mess here at detroit metro airport but your staff is doing great ",positive
